Mã,Tên,Cấp,Mã TP,Tỉnh / Thành Phố
001,Quận Ba Đình,Quận,01,Thành phố Hà Nội
002,Quận Hoàn Kiếm,Quận,01,Thành phố Hà Nội
003,Quận Tây Hồ,Quận,01,Thành phố Hà Nội
004,Quận Long Biên,Quận,01,Thành phố Hà Nội
005,Quận Cầu Giấy,Quận,01,Thành phố Hà Nội
006,Quận Đống Đa,Quận,01,Thành phố Hà Nội
007,Quận Hai Bà Trưng,Quận,01,Thành phố Hà Nội
008,Quận Hoàng Mai,Quận,01,Thành phố Hà Nội
009,Quận Thanh Xuân,Quận,01,Thành phố Hà Nội
016,Huyện Sóc Sơn,Huyện,01,Thành phố Hà Nội
017,Huyện Đông Anh,Huyện,01,Thành phố Hà Nội
018,Huyện Gia Lâm,Huyện,01,Thành phố Hà Nội
019,Quận Nam Từ Liêm,Quận,01,Thành phố Hà Nội
020,Huyện Thanh Trì,Huyện,01,Thành phố Hà Nội
021,Quận Bắc Từ Liêm,Quận,01,Thành phố Hà Nội
250,Huyện Mê Linh,Huyện,01,Thành phố Hà Nội
268,Quận Hà Đông,Quận,01,Thành phố Hà Nội
269,Thị xã Sơn Tây,Thị xã,01,Thành phố Hà Nội
271,Huyện Ba Vì,Huyện,01,Thành phố Hà Nội
272,Huyện Phúc Thọ,Huyện,01,Thành phố Hà Nội
273,Huyện Đan Phượng,Huyện,01,Thành phố Hà Nội
274,Huyện Hoài Đức,Huyện,01,Thành phố Hà Nội
275,Huyện Quốc Oai,Huyện,01,Thành phố Hà Nội
276,Huyện Thạch Thất,Huyện,01,Thành phố Hà Nội
277,Huyện Chương Mỹ,Huyện,01,Thành phố Hà Nội
278,Huyện Thanh Oai,Huyện,01,Thành phố Hà Nội
279,Huyện Thường Tín,Huyện,01,Thành phố Hà Nội
280,Huyện Phú Xuyên,Huyện,01,Thành phố Hà Nội
281,Huyện Ứng Hòa,Huyện,01,Thành phố Hà Nội
282,Huyện Mỹ Đức,Huyện,01,Thành phố Hà Nội
024,Thành phố Hà Giang,Thành phố,02,Tỉnh Hà Giang
026,Huyện Đồng Văn,Huyện,02,Tỉnh Hà Giang
027,Huyện Mèo Vạc,Huyện,02,Tỉnh Hà Giang
028,Huyện Yên Minh,Huyện,02,Tỉnh Hà Giang
029,Huyện Quản Bạ,Huyện,02,Tỉnh Hà Giang
030,Huyện Vị Xuyên,Huyện,02,Tỉnh Hà Giang
031,Huyện Bắc Mê,Huyện,02,Tỉnh Hà Giang
032,Huyện Hoàng Su Phì,Huyện,02,Tỉnh Hà Giang
033,Huyện Xín Mần,Huyện,02,Tỉnh Hà Giang
034,Huyện Bắc Quang,Huyện,02,Tỉnh Hà Giang
035,Huyện Quang Bình,Huyện,02,Tỉnh Hà Giang
040,Thành phố Cao Bằng,Thành phố,04,Tỉnh Cao Bằng
042,Huyện Bảo Lâm,Huyện,04,Tỉnh Cao Bằng
043,Huyện Bảo Lạc,Huyện,04,Tỉnh Cao Bằng
045,Huyện Hà Quảng,Huyện,04,Tỉnh Cao Bằng
047,Huyện Trùng Khánh,Huyện,04,Tỉnh Cao Bằng
048,Huyện Hạ Lang,Huyện,04,Tỉnh Cao Bằng
049,Huyện Quảng Hòa,Huyện,04,Tỉnh Cao Bằng
051,Huyện Hoà An,Huyện,04,Tỉnh Cao Bằng
052,Huyện Nguyên Bình,Huyện,04,Tỉnh Cao Bằng
053,Huyện Thạch An,Huyện,04,Tỉnh Cao Bằng
058,Thành Phố Bắc Kạn,Thành phố,06,Tỉnh Bắc Kạn
060,Huyện Pác Nặm,Huyện,06,Tỉnh Bắc Kạn
061,Huyện Ba Bể,Huyện,06,Tỉnh Bắc Kạn
062,Huyện Ngân Sơn,Huyện,06,Tỉnh Bắc Kạn
063,Huyện Bạch Thông,Huyện,06,Tỉnh Bắc Kạn
064,Huyện Chợ Đồn,Huyện,06,Tỉnh Bắc Kạn
065,Huyện Chợ Mới,Huyện,06,Tỉnh Bắc Kạn
066,Huyện Na Rì,Huyện,06,Tỉnh Bắc Kạn
070,Thành phố Tuyên Quang,Thành phố,08,Tỉnh Tuyên Quang
071,Huyện Lâm Bình,Huyện,08,Tỉnh Tuyên Quang
072,Huyện Na Hang,Huyện,08,Tỉnh Tuyên Quang
073,Huyện Chiêm Hóa,Huyện,08,Tỉnh Tuyên Quang
074,Huyện Hàm Yên,Huyện,08,Tỉnh Tuyên Quang
075,Huyện Yên Sơn,Huyện,08,Tỉnh Tuyên Quang
076,Huyện Sơn Dương,Huyện,08,Tỉnh Tuyên Quang
080,Thành phố Lào Cai,Thành phố,10,Tỉnh Lào Cai
082,Huyện Bát Xát,Huyện,10,Tỉnh Lào Cai
083,Huyện Mường Khương,Huyện,10,Tỉnh Lào Cai
084,Huyện Si Ma Cai,Huyện,10,Tỉnh Lào Cai
085,Huyện Bắc Hà,Huyện,10,Tỉnh Lào Cai
086,Huyện Bảo Thắng,Huyện,10,Tỉnh Lào Cai
087,Huyện Bảo Yên,Huyện,10,Tỉnh Lào Cai
088,Thị xã Sa Pa,Thị xã,10,Tỉnh Lào Cai
089,Huyện Văn Bàn,Huyện,10,Tỉnh Lào Cai
094,Thành phố Điện Biên Phủ,Thành phố,11,Tỉnh Điện Biên
095,Thị Xã Mường Lay,Thị xã,11,Tỉnh Điện Biên
096,Huyện Mường Nhé,Huyện,11,Tỉnh Điện Biên
097,Huyện Mường Chà,Huyện,11,Tỉnh Điện Biên
098,Huyện Tủa Chùa,Huyện,11,Tỉnh Điện Biên
099,Huyện Tuần Giáo,Huyện,11,Tỉnh Điện Biên
100,Huyện Điện Biên,Huyện,11,Tỉnh Điện Biên
101,Huyện Điện Biên Đông,Huyện,11,Tỉnh Điện Biên
102,Huyện Mường Ảng,Huyện,11,Tỉnh Điện Biên
103,Huyện Nậm Pồ,Huyện,11,Tỉnh Điện Biên
105,Thành phố Lai Châu,Thành phố,12,Tỉnh Lai Châu
106,Huyện Tam Đường,Huyện,12,Tỉnh Lai Châu
107,Huyện Mường Tè,Huyện,12,Tỉnh Lai Châu
108,Huyện Sìn Hồ,Huyện,12,Tỉnh Lai Châu
109,Huyện Phong Thổ,Huyện,12,Tỉnh Lai Châu
110,Huyện Than Uyên,Huyện,12,Tỉnh Lai Châu
111,Huyện Tân Uyên,Huyện,12,Tỉnh Lai Châu
112,Huyện Nậm Nhùn,Huyện,12,Tỉnh Lai Châu
116,Thành phố Sơn La,Thành phố,14,Tỉnh Sơn La
118,Huyện Quỳnh Nhai,Huyện,14,Tỉnh Sơn La
119,Huyện Thuận Châu,Huyện,14,Tỉnh Sơn La
120,Huyện Mường La,Huyện,14,Tỉnh Sơn La
121,Huyện Bắc Yên,Huyện,14,Tỉnh Sơn La
122,Huyện Phù Yên,Huyện,14,Tỉnh Sơn La
123,Huyện Mộc Châu,Huyện,14,Tỉnh Sơn La
