Mã,Tên,Cấp,Mã QH,Quận Huyện,Mã TP,Tỉnh / Thành Phố
1.0,Phường Phúc Xá,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
4.0,Phường Trúc Bạch,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
6.0,Phường Vĩnh Phúc,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
7.0,Phường Cống Vị,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
8.0,Phường Liễu Giai,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
10.0,Phường Nguyễn Trung Trực,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
13.0,Phường Quán Thánh,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
16.0,Phường Ngọc Hà,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
19.0,Phường Điện Biên,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
22.0,Phường Đội Cấn,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
25.0,Phường Ngọc Khánh,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
28.0,Phường Kim Mã,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
31.0,Phường Giảng Võ,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
34.0,Phường Thành Công,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
37.0,Phường Phúc Tân,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
40.0,Phường Đồng Xuân,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
43.0,Phường Hàng Mã,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
46.0,Phường Hàng Buồm,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
49.0,Phường Hàng Đào,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
52.0,Phường Hàng Bồ,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
55.0,Phường Cửa Đông,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
58.0,Phường Lý Thái Tổ,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
61.0,Phường Hàng Bạc,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
64.0,Phường Hàng Gai,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
67.0,Phường Chương Dương,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
70.0,Phường Hàng Trống,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
73.0,Phường Cửa Nam,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
76.0,Phường Hàng Bông,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
79.0,Phường Tràng Tiền,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
82.0,Phường Trần Hưng Đạo,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
85.0,Phường Phan Chu Trinh,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
88.0,Phường Hàng Bài,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
91.0,Phường Phú Thượng,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
94.0,Phường Nhật Tân,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
97.0,Phường Tứ Liên,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
100.0,Phường Quảng An,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
103.0,Phường Xuân La,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
106.0,Phường Yên Phụ,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
109.0,Phường Bưởi,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
112.0,Phường Thụy Khuê,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
115.0,Phường Thượng Thanh,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
118.0,Phường Ngọc Thụy,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
121.0,Phường Giang Biên,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
124.0,Phường Đức Giang,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
127.0,Phường Việt Hưng,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
130.0,Phường Gia Thụy,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
133.0,Phường Ngọc Lâm,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
136.0,Phường Phúc Lợi,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
139.0,Phường Bồ Đề,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
142.0,Phường Sài Đồng,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
